IV,Variables
0.10813487704033828,CENSUS2010POP
0.10421253501192912,POPESTIMATE2011
0.1099609534681024,POPESTIMATE2012
0.10489992791745847,BIRTHS2010
0.10443288024061444,BIRTHS2011
0.09914622880058747,BIRTHS2012
0.13112890809684175,DEATHS2010
0.18283139084632324,DEATHS2011
0.1660815046096766,DEATHS2012
0.0527148546754008,NATURALINC2010
0.051137130458107624,NATURALINC2011
0.06110204522984655,NATURALINC2012
0.02754891797797191,INTERNATIONALMIG2010
0.01852757499230701,INTERNATIONALMIG2011
0.025747891673876828,INTERNATIONALMIG2012
0.029007226180895577,DOMESTICMIG2010
0.04287160714756144,DOMESTICMIG2011
0.036002391123139486,DOMESTICMIG2012
0.028270658170740662,NETMIG2010
0.07231807727242667,NETMIG2011
0.0649205053292796,NETMIG2012
0.03935081778965035,RESIDUAL2010
0.09114826228782465,RESIDUAL2011
0.02001222903913715,RESIDUAL2012
0.131409546856348,RBIRTH2011
0.11752758411489586,RBIRTH2012
0.3151747230175746,RDEATH2011
0.3264821918032765,RDEATH2012
0.1606568862539292,RNATURALINC2011
0.13208626050536254,RNATURALINC2012
0.08340830018723808,RINTERNATIONALMIG2011
0.08121197592718453,RINTERNATIONALMIG2012
0.043722311806529524,RDOMESTICMIG2011
0.028439779967863697,RDOMESTICMIG2012
0.05399234263715179,RNETMIG2011
0.028119083620330068,RNETMIG2012
0.13984925732408424,HVT_MR1980_VAL
0.16311314299510665,HVT_MR1980_LB
0.16311314299510665,HVT_MR1980_UB
0.24693421504676105,HVT_MR1985_VAL
0.23652760988061508,HVT_MR1985_LB
0.23652760988061508,HVT_MR1985_UB
0.30684837291093964,HVT_MR1990_VAL
0.28761015569141896,HVT_MR1990_LB
0.28761015569141896,HVT_MR1990_UB
0.29022684557380957,HVT_MR1995_VAL
0.30974789514756834,HVT_MR1995_LB
0.30974789514756834,HVT_MR1995_UB
0.2779288069225563,HVT_MR2000_VAL
0.24698976063553651,HVT_MR2000_LB
0.24698976063553651,HVT_MR2000_UB
0.2670878588291549,HVT_MR2005_VAL
0.25900531556382617,HVT_MR2005_LB
0.25900531556382617,HVT_MR2005_UB
0.2484233139297304,HVT_MR2010_VAL
0.23109069327196008,HVT_MR2010_LB
0.23109069327196008,HVT_MR2010_UB
0.06463996760823568,HVT_PC1980_2010
0.02855839991170112,DLR_MR1980_VAL
0.03126216219498241,DLR_MR1980_LB
0.03126216219498241,DLR_MR1980_UB
0.01897511969792371,DLR_MR1985_VAL
0.03941707416622296,DLR_MR1985_LB
0.03941707416622296,DLR_MR1985_UB
0.0827453819195097,DLR_MR1990_VAL
0.11727043787045896,DLR_MR1990_LB
0.11727043787045896,DLR_MR1990_UB
0.1528060025698959,DLR_MR1995_VAL
0.1717582535607625,DLR_MR1995_LB
0.1717582535607625,DLR_MR1995_UB
0.24776422067484424,DLR_MR2000_VAL
0.26486393024339905,DLR_MR2000_LB
0.26486393024339905,DLR_MR2000_UB
0.31980622888976973,DLR_MR2005_VAL
0.34166883055331787,DLR_MR2005_LB
0.34166883055331787,DLR_MR2005_UB
0.3622765929033216,DLR_MR2010_VAL
0.38454566500300796,DLR_MR2010_LB
