FIPS,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
1,4779736,4779758,4785570,4801627,4817528,4833722,5812,16057,15901,16194,14966,59700,59356,58858,11090,48424,48596,48922,3876,11276,10760,9936,1426,4931,5732,5256,542,-154,-759,451,1968,4777,4973,5707,-32,4,168,551,115816,115847,114917,114923,115032,12.454109371,12.341208765,12.196969304000001,10.101805564,10.104006017,10.137961404,2.3523038068,2.2372027481,2.0590079005,1.0286635395000001,1.1917886758,1.0891853387000001,-0.032126178,-0.157810119,0.0934593965,0.9965373612,1.0339785563,1.1826447351
1001,54571,54571,54613,55278,55265,55246,42,665,-13,-19,170,636,607,601,146,493,490,469,24,143,117,132,33,49,40,40,-20,428,-180,-173,13,477,-140,-133,5,45,10,-18,455,455,455,455,455,11.575106242,10.982151742000001,10.876745301,8.9725273225,8.8653284242,8.487842839199999,2.6025789191,2.1168233175999998,2.3889024622,0.8917927765000001,0.7237002795,0.723909837,7.7895369048,-3.256651258,-3.130910045,8.6813296812,-2.532950978,-2.407000208
1003,182265,182265,183223,186727,190675,195540,958,3504,3948,4865,549,2187,2127,2206,536,1852,1788,1850,13,335,339,356,71,270,301,288,855,2730,3261,4072,926,3000,3562,4360,19,169,47,149,2307,2307,2263,2244,2240,11.823219354,11.271800360999999,11.423688878,10.012163806,9.475307497000001,9.5801561307,1.8110555480000001,1.7964928644,1.8435327472999998,1.4596567104,1.5951160831,1.4913972787,14.758751183,17.281307465,21.086700413,16.218407893,18.876423547999998,22.578097691999996
1005,27457,27457,27341,27301,27232,27076,-116,-40,-69,-156,69,334,277,296,130,309,268,294,-61,25,9,2,5,23,17,17,-60,-89,-94,-200,-55,-66,-77,-183,0,1,-1,25,3193,3193,3382,3387,3388,12.225028365999998,10.158986302,10.900788098,11.309981333,9.8289109347,10.827134124,0.9150470334,0.33007536719999997,0.0736539736,0.8418432707,0.6234756936,0.6260587759,-3.257567439,-3.447453835,-7.365397363,-2.415724168,-2.823978142,-6.739338587000001
1007,22915,22919,22883,22770,22662,22512,-36,-113,-108,-150,57,266,242,250,28,242,242,224,29,24,0,26,2,6,4,5,-66,-131,-112,-165,-64,-125,-108,-160,-1,-12,0,-16,2224,2224,2224,2224,2226,11.653122467000001,10.653284029,11.068313632,10.601712921,10.653284029,9.917209013999999,1.0514095459000001,0.0,1.1511046177,0.2628523865,0.1760873393,0.22136627260000002,-5.738943771000001,-4.930445501,-7.305086997,-5.476091385,-4.754358162,-7.083720724
1009,57322,57322,57352,57742,57807,57872,30,390,65,65,152,744,695,698,130,570,572,563,22,174,123,135,9,36,19,20,1,124,-72,-71,10,160,-53,-51,-2,56,-5,-19,489,489,489,489,489,12.92856274,12.029528597999999,12.067877489,9.9049472605,9.9005616665,9.7338324156,3.0236154795,2.1289669318,2.334045073,0.6255756164999999,0.3288648106,0.3457844553,2.1547604567,-1.246224545,-1.227534816,2.7803360731,-0.917359735,-0.8817503609999999
1011,10914,10915,10881,10618,10605,10639,-34,-263,-13,34,39,169,128,129,53,137,96,106,-14,32,32,23,5,20,14,16,-26,-332,-62,17,-21,-312,-48,33,1,17,3,-22,1690,1690,1690,1780,1779,15.721661473,12.062385147999999,12.144605535999998,12.744778827000001,9.0467888611,9.9792882696,2.9768826457,3.0155962869999997,2.1653172661,1.8605516536000002,1.3193233756,1.5063076633,-30.88515745,-5.8427178060000005,1.6004518923,-29.024605800000003,-4.523394431,3.1067595556
1013,20947,20946,20944,20662,20384,20265,-2,-282,-278,-119,68,274,231,244,63,276,264,250,5,-2,-33,-6,1,5,5,5,-6,-291,-252,-108,-5,-286,-247,-103,-2,6,2,-10,333,333,333,333,333,13.171177234000002,11.255664377,12.00521538,13.267317214,12.86361643,12.300425595,-0.09613998,-1.607952054,-0.29521021399999997,0.2403499495,0.2436290991,0.2460085119,-13.98836706,-12.27890659,-5.313783857,-13.74801711,-12.03527749,-5.067775345
1015,118572,118572,118448,117769,117253,116736,-124,-679,-516,-517,323,1386,1370,1353,312,1382,1360,1379,11,4,10,-26,10,28,39,29,-139,-665,-559,-468,-129,-637,-520,-439,-6,-46,-6,-52,2919,2921,2867,2942,2943,11.734972504000002,11.658483036,11.564646200999999,11.70110534,11.573384619,11.78687887,0.033867164500000005,0.08509841630000001,-0.222232669,0.2370701516,0.3318838236,0.24787490010000002,-5.6304161,-4.757001472,-4.0001880430000005,-5.3933459489999995,-4.425117649,-3.7523131430000003
1017,34215,34170,34110,33995,34074,34162,-60,-115,79,88,94,401,384,391,80,450,472,471,14,-49,-88,-80,7,28,26,26,-75,-87,139,117,-68,-59,165,143,-6,-7,2,25,458,458,458,458,458,11.775934219000002,11.282669056,11.460226274000002,13.214888775,13.868280715,13.805029603,-1.438954555,-2.585611659,-2.34480333,0.822259746,0.7639307174,0.7620610820999999,-2.5548784959999997,4.084091142799999,3.4292748696,-1.73261875,4.848021860199999,4.1913359517
